Cnode ID, Thread ID,CYCLES_NOT_IN_HALT,RETIRED_INSTRUCTIONS,perf::PERF_COUNT_HW_CACHE_L1D:MISS,perf::PERF_COUNT_HW_CACHE_L1D:ACCESS,execution,mpi,comp,regionName,iteration
4,95,581328286,455630471,8202894,182493213,0.240564,0.240564,0.0,mpi_irecv,0
4,96,566926073,455264897,8178501,182202013,0.235137,0.235137,0.0,mpi_irecv,0
4,97,797717979,715390798,9825732,282001375,0.322169,0.322169,0.0,mpi_irecv,0
4,98,751458158,717252496,11848963,283030120,0.301916,0.301916,0.0,mpi_irecv,0
4,99,761038250,717649470,10252506,282171182,0.304232,0.304232,0.0,mpi_irecv,0
4,100,734916758,715068409,10570923,282671402,0.295302,0.295302,0.0,mpi_irecv,0
4,101,814628706,716662256,10201405,282296966,0.323394,0.323394,0.0,mpi_irecv,0
4,102,815284130,716944821,9818064,282722113,0.326866,0.326866,0.0,mpi_irecv,0
4,103,753095186,719631806,10796268,283973890,0.302443,0.302443,0.0,mpi_irecv,0
4,104,811332799,713550619,10963926,280276484,0.329599,0.329599,0.0,mpi_irecv,0
4,105,801332852,715288740,11068113,281349823,0.321995,0.321995,0.0,mpi_irecv,0
4,106,758636907,714865506,11259186,281338302,0.305953,0.305953,0.0,mpi_irecv,0
4,107,550931604,455037287,7913867,181481133,0.226025,0.226025,0.0,mpi_irecv,0
4,108,724948190,715630089,9927998,281843965,0.286026,0.286026,0.0,mpi_irecv,0
4,109,1130987330,1103847024,14148377,431248995,0.449426,0.449426,0.0,mpi_irecv,0
4,110,1072344328,1106469618,14106510,433086152,0.425374,0.425374,0.0,mpi_irecv,0
4,111,1032189525,1106107194,14777994,432369858,0.409902,0.409902,0.0,mpi_irecv,0
4,112,1015619366,1109110196,15220836,432925308,0.399662,0.399662,0.0,mpi_irecv,0
4,113,1139905344,1108537452,15075877,432313865,0.451739,0.451739,0.0,mpi_irecv,0
4,114,1095547216,1111426512,15679430,438922679,0.435545,0.435545,0.0,mpi_irecv,0
4,115,1076396788,1109497052,15397166,433976140,0.428832,0.428832,0.0,mpi_irecv,0
4,116,972790097,1104709076,15176735,432215835,0.382218,0.382218,0.0,mpi_irecv,0
4,117,1098360519,1103521778,14785548,430541756,0.438992,0.438992,0.0,mpi_irecv,0
4,118,1003148846,1106058318,14801882,432747848,0.395526,0.395526,0.0,mpi_irecv,0
4,119,659367625,716103868,10433582,282836392,0.262947,0.262947,0.0,mpi_irecv,0
4,120,719897582,715885797,10913553,281779309,0.288013,0.288013,0.0,mpi_irecv,0
4,121,1130727480,1104167408,16085511,429508237,0.453243,0.453243,0.0,mpi_irecv,0
4,122,1071698398,1102872244,14953592,431933223,0.423152,0.423152,0.0,mpi_irecv,0
4,123,1012385270,1107249659,15821036,431093203,0.39922,0.39922,0.0,mpi_irecv,0
4,124,1051158438,1105030862,15495699,431766483,0.415787,0.415787,0.0,mpi_irecv,0
4,125,1122269294,1110358880,15748405,436236741,0.448164,0.448164,0.0,mpi_irecv,0
4,126,1054415785,1111913708,15610596,436674952,0.416805,0.416805,0.0,mpi_irecv,0
4,127,1078686583,1110998022,14168197,433488787,0.426562,0.426562,0.0,mpi_irecv,0
4,128,990484351,1104654474,14651206,432855698,0.390002,0.390002,0.0,mpi_irecv,0
4,129,1031081287,1103649562,15244602,431320437,0.407826,0.407826,0.0,mpi_irecv,0
4,130,988053245,1106621220,16407399,434519911,0.389515,0.389515,0.0,mpi_irecv,0
4,131,635193026,715000601,10808091,283202353,0.252669,0.252669,0.0,mpi_irecv,0
4,132,526294791,455205747,7663227,182249358,0.217122,0.217122,0.0,mpi_irecv,0
4,133,811181386,722547940,10591431,283338609,0.329753,0.329753,0.0,mpi_irecv,0
4,134,773288359,717529929,9611521,284072993,0.309006,0.309006,0.0,mpi_irecv,0
4,135,715701502,713889940,11242267,280599761,0.287655,0.287655,0.0,mpi_irecv,0
4,136,728570755,718167330,11735459,284595691,0.292697,0.292697,0.0,mpi_irecv,0
4,137,772494562,717322001,11190955,281389586,0.309036,0.309036,0.0,mpi_irecv,0
4,138,745507043,717554303,10852510,283972313,0.295066,0.295066,0.0,mpi_irecv,0
4,139,749104238,720086959,10988926,285086113,0.300888,0.300888,0.0,mpi_irecv,0
4,140,737187247,716139038,11074017,281720568,0.297815,0.297815,0.0,mpi_irecv,0
4,141,743987053,714595018,10745020,279250180,0.299904,0.299904,0.0,mpi_irecv,0
4,142,740611348,716214668,12434611,280608785,0.294899,0.294899,0.0,mpi_irecv,0
4,143,497463598,454693751,9174049,182136166,0.205235,0.205235,0.0,mpi_irecv,0
4,144,414643103,283839707,6171975,114544022,0.171574,0.171574,0.0,mpi_irecv,0
4,145,562004850,454197742,7868978,180683664,0.232257,0.232257,0.0,mpi_irecv,0
4,146,533969819,453715459,7924097,180474812,0.220115,0.220115,0.0,mpi_irecv,0
4,147,521118633,452278677,7847994,179353916,0.215111,0.215111,0.0,mpi_irecv,0
4,148,526761002,454605816,8089533,181235663,0.217183,0.217183,0.0,mpi_irecv,0
4,149,569684398,456492969,7366781,181849946,0.234962,0.234962,0.0,mpi_irecv,0
4,150,585754852,456591370,7439227,184305552,0.242099,0.242099,0.0,mpi_irecv,0
4,151,534663690,456153499,8493483,182993232,0.219732,0.219732,0.0,mpi_irecv,0
4,152,603867608,455458399,7917793,180888979,0.249999,0.249999,0.0,mpi_irecv,0
4,153,579140959,452632237,7694704,179754418,0.239908,0.239908,0.0,mpi_irecv,0
4,154,568412167,454370573,7330159,180304764,0.235973,0.235973,0.0,mpi_irecv,0
4,155,435969302,284678220,5883408,113923301,0.18212,0.18212,0.0,mpi_irecv,0
4,156,514953775,454266494,7975992,181492632,0.213361,0.213361,0.0,mpi_irecv,0
4,157,781988525,714066275,9716758,283035284,0.317258,0.317258,0.0,mpi_irecv,0
4,158,764962158,714767329,10654316,282338742,0.306268,0.306268,0.0,mpi_irecv,0
4,159,713152456,713728071,10029119,281467136,0.2864,0.2864,0.0,mpi_irecv,0
4,160,713948429,716032064,10827563,281567204,0.284276,0.284276,0.0,mpi_irecv,0
4,161,783218903,719019354,11177218,283293991,0.317421,0.317421,0.0,mpi_irecv,0
4,162,761968495,719114291,11440856,284696021,0.304291,0.304291,0.0,mpi_irecv,0
4,163,755598276,716133077,10714627,284022950,0.303143,0.303143,0.0,mpi_irecv,0
4,164,694378469,717036914,10916946,282470503,0.279062,0.279062,0.0,mpi_irecv,0
4,165,755275549,711382718,11078857,281635438,0.303924,0.303924,0.0,mpi_irecv,0
4,166,694924817,715072858,10988257,281538918,0.278678,0.278678,0.0,mpi_irecv,0
4,167,476074152,454371792,7623897,181984616,0.196174,0.196174,0.0,mpi_irecv,0
4,168,521919858,454751576,8311563,182059174,0.216866,0.216866,0.0,mpi_irecv,0
4,169,777404166,716855071,9266071,282522515,0.315479,0.315479,0.0,mpi_irecv,0
4,170,728456468,713882232,11410343,280303521,0.291881,0.291881,0.0,mpi_irecv,0
4,171,737187868,714906509,10738292,282014903,0.295442,0.295442,0.0,mpi_irecv,0
4,172,720409675,715395362,11459445,282674283,0.28669,0.28669,0.0,mpi_irecv,0
4,173,777572627,720008102,10838583,283311749,0.309809,0.309809,0.0,mpi_irecv,0
4,174,775371947,718659689,10349938,285431535,0.311315,0.311315,0.0,mpi_irecv,0
4,175,765494586,717957012,9969909,284131323,0.307509,0.307509,0.0,mpi_irecv,0
4,176,717129209,718426860,11843250,282136386,0.290766,0.290766,0.0,mpi_irecv,0
4,177,731019047,714077154,11246659,281166995,0.291801,0.291801,0.0,mpi_irecv,0
4,178,701787944,713155644,10802323,279559268,0.281411,0.281411,0.0,mpi_irecv,0
4,179,475859782,454702194,7576823,181618058,0.196081,0.196081,0.0,mpi_irecv,0
4,180,411196943,284383910,5901551,114464880,0.170717,0.170717,0.0,mpi_irecv,0
4,181,560827477,455687121,7269142,181369542,0.232361,0.232361,0.0,mpi_irecv,0
4,182,551585124,453149753,7546323,180914064,0.226689,0.226689,0.0,mpi_irecv,0
4,183,517421429,453337704,7886991,180709108,0.214318,0.214318,0.0,mpi_irecv,0
4,184,517232881,454296312,7791548,182190804,0.215352,0.215352,0.0,mpi_irecv,0
4,185,568048694,455121754,7410815,183532139,0.237084,0.237084,0.0,mpi_irecv,0
4,186,541108962,455514202,7920895,183400922,0.222307,0.222307,0.0,mpi_irecv,0
4,187,515582751,452843487,7843722,180512589,0.2117,0.2117,0.0,mpi_irecv,0
4,188,559860867,453803146,8242628,180240929,0.232076,0.232076,0.0,mpi_irecv,0
4,189,655461528,452206465,8095096,179755646,0.26959,0.26959,0.0,mpi_irecv,0
4,190,552957872,453331329,7952935,180163019,0.229605,0.229605,0.0,mpi_irecv,0
4,191,442992250,284367731,5846461,114637896,0.185673,0.185673,0.0,mpi_irecv,0
5,0,577660698,345032145,18280711,148101404,0.242638,0.242638,0.0,mpi_isend,0
5,1,876869010,551533626,27335827,231761494,0.374687,0.374687,0.0,mpi_isend,0
5,2,909841528,552497047,26879352,234703664,0.393926,0.393926,0.0,mpi_isend,0
5,3,862427388,551188326,27317810,231151609,0.365807,0.365807,0.0,mpi_isend,0
5,4,880197770,552851140,27225337,232249720,0.374189,0.374189,0.0,mpi_isend,0
5,5,834412214,550980801,26820922,230799489,0.34864,0.34864,0.0,mpi_isend,0
5,6,836347684,548921203,27506815,232180389,0.357382,0.357382,0.0,mpi_isend,0
5,7,848267642,551146861,27347327,231176590,0.361023,0.361023,0.0,mpi_isend,0
5,8,864954764,551707872,26886443,230120344,0.373354,0.373354,0.0,mpi_isend,0
5,9,867010343,551992323,26771736,232487077,0.371069,0.371069,0.0,mpi_isend,0
5,10,877936314,551573838,26798486,230413413,0.372687,0.372687,0.0,mpi_isend,0
5,11,608574419,345871509,17976257,148204416,0.259647,0.259647,0.0,mpi_isend,0
5,12,795317015,547883790,27475430,231547861,0.334234,0.334234,0.0,mpi_isend,0
5,13,1337538884,849368214,40108477,355333106,0.567543,0.567543,0.0,mpi_isend,0
5,14,1397192652,850543515,40071033,366113891,0.595967,0.595967,0.0,mpi_isend,0
5,15,1294693902,850483430,40018277,356397119,0.558412,0.558412,0.0,mpi_isend,0
5,16,1262071503,849342571,40009569,361081446,0.533998,0.533998,0.0,mpi_isend,0
5,17,1324938092,850209054,40407129,358938762,0.557104,0.557104,0.0,mpi_isend,0
5,18,1292155426,850006017,40132588,360324126,0.546539,0.546539,0.0,mpi_isend,0
5,19,1262622660,848808962,40473880,358401608,0.537507,0.537507,0.0,mpi_isend,0
5,20,1206165229,849024249,38842009,356004340,0.513893,0.513893,0.0,mpi_isend,0
5,21,1285962320,850398818,39671542,358876000,0.546239,0.546239,0.0,mpi_isend,0
5,22,1249810482,849273544,39844315,356922986,0.528698,0.528698,0.0,mpi_isend,0
5,23,807669497,547928933,26879330,231947830,0.343659,0.343659,0.0,mpi_isend,0
5,24,821194153,550357540,28070872,234241877,0.347655,0.347655,0.0,mpi_isend,0
5,25,1378987828,849524800,39771236,359838240,0.588287,0.588287,0.0,mpi_isend,0
